tx_id,exp_date,dept_id,vendor_name,amount,description,month,anomaly_score,anomaly_status
55,2024-05-16,5,Vendor_70,9521.36,Standard operational expense,5,1,Normal
56,2023-04-15,7,Vendor_97,1445.32,Standard operational expense,4,1,Normal
57,2021-02-21,3,Vendor_93,2879.13,Standard operational expense,2,1,Normal
58,2022-11-30,4,Vendor_36,4956.79,Standard operational expense,11,1,Normal
59,2024-09-16,2,Vendor_19,7730.19,Standard operational expense,9,1,Normal
60,2022-10-01,4,Vendor_40,14113.8,Standard operational expense,10,1,Normal
61,2022-07-22,7,Vendor_1,14057.28,Standard operational expense,7,1,Normal
62,2022-12-08,4,Vendor_50,11054.72,Standard operational expense,12,1,Normal
63,2024-01-08,7,Vendor_99,13172.36,Standard operational expense,1,1,Normal
64,2018-09-20,4,Vendor_60,2706.83,Standard operational expense,9,1,Normal
65,2020-05-30,2,Vendor_12,14944.18,Standard operational expense,5,1,Normal
66,2019-03-29,5,Vendor_9,13251.28,Standard operational expense,3,1,Normal
67,2022-08-10,8,Vendor_20,12715.25,Standard operational expense,8,1,Normal
68,2024-10-11,6,Vendor_24,70320.9,Emergency Year-end Fund Utilization,10,-1,Anomaly
69,2019-09-20,3,Vendor_36,14040.96,Standard operational expense,9,1,Normal
70,2021-12-16,8,Vendor_99,9135.79,Standard operational expense,12,1,Normal
71,2022-02-05,3,Vendor_18,14607.59,Standard operational expense,2,1,Normal
72,2023-12-24,6,Vendor_54,49656.78,Emergency Year-end Fund Utilization,12,1,Normal
73,2020-08-14,1,Vendor_68,2721.29,Standard operational expense,8,1,Normal
74,2019-02-02,5,Vendor_8,2764.46,Standard operational expense,2,1,Normal
75,2021-03-04,3,Vendor_33,9898.43,Standard operational expense,3,1,Normal
76,2019-04-05,3,Vendor_22,5578.97,Standard operational expense,4,1,Normal
77,2022-12-01,6,Vendor_51,88113.0,Emergency Year-end Fund Utilization,12,-1,Anomaly
78,2024-10-21,8,Vendor_98,9503.97,Standard operational expense,10,1,Normal
79,2020-03-08,1,Vendor_64,8695.87,Standard operational expense,3,1,Normal
80,2022-02-13,5,Vendor_48,3529.76,Standard operational expense,2,1,Normal
81,2019-10-21,4,Vendor_49,462.31,Standard operational expense,10,1,Normal
82,2018-01-17,4,Vendor_93,14112.83,Standard operational expense,1,1,Normal
83,2020-12-05,5,Vendor_37,13264.06,Standard operational expense,12,1,Normal
84,2024-05-16,5,Vendor_53,6479.94,Standard operational expense,5,1,Normal
85,2019-08-30,3,Vendor_63,14706.94,Standard operational expense,8,1,Normal
86,2024-04-19,5,Vendor_33,2944.57,Standard operational expense,4,1,Normal
87,2018-05-08,2,Vendor_95,8396.34,Standard operational expense,5,1,Normal
88,2019-07-24,3,Vendor_24,8593.91,Standard operational expense,7,1,Normal
89,2019-09-18,8,Vendor_23,10100.04,Standard operational expense,9,1,Normal
90,2018-06-04,2,Vendor_17,13172.86,Standard operational expense,6,1,Normal
91,2018-09-03,8,Vendor_42,8337.02,Standard operational expense,9,1,Normal
92,2019-06-22,3,Vendor_24,3917.48,Standard operational expense,6,1,Normal
93,2019-06-09,4,Vendor_57,7719.0,Standard operational expense,6,1,Normal
94,2018-02-05,5,Vendor_8,2994.68,Standard operational expense,2,1,Normal
95,2019-10-26,6,Vendor_87,80166.48,Emergency Year-end Fund Utilization,10,-1,Anomaly
96,2021-03-12,4,Vendor_32,8725.09,Standard operational expense,3,1,Normal
97,2023-11-03,6,Vendor_58,29936.82,Emergency Year-end Fund Utilization,11,1,Normal
98,2019-10-12,6,Vendor_58,26216.76,Emergency Year-end Fund Utilization,10,1,Normal
99,2024-06-10,4,Vendor_15,678.64,Standard operational expense,6,1,Normal
100,2020-12-13,3,Vendor_97,1993.2,Standard operational expense,12,1,Normal
101,2024-04-30,5,Vendor_5,4145.99,Standard operational expense,4,1,Normal
102,2021-01-31,4,Vendor_96,12646.14,Standard operational expense,1,1,Normal
103,2018-02-16,3,Vendor_52,9597.71,Standard operational expense,2,1,Normal
104,2018-09-26,2,Vendor_30,7792.88,Standard operational expense,9,1,Normal
105,2022-08-10,1,Vendor_19,6042.43,Standard operational expense,8,1,Normal
106,2020-12-17,7,Vendor_90,3837.82,Standard operational expense,12,1,Normal
107,2018-10-11,6,Vendor_9,75336.6,Emergency Year-end Fund Utilization,10,-1,Anomaly
108,2023-04-16,5,Vendor_1,967.08,Standard operational expense,4,1,Normal
109,2021-12-02,6,Vendor_89,8992.26,Emergency Year-end Fund Utilization,12,1,Normal
110,2019-05-03,5,Vendor_16,4271.02,Standard operational expense,5,1,Normal
111,2021-04-27,7,Vendor_69,9890.96,Standard operational expense,4,1,Normal
112,2024-04-13,3,Vendor_16,3791.19,Standard operational expense,4,1,Normal
113,2020-11-19,6,Vendor_78,1886.76,Emergency Year-end Fund Utilization,11,1,Normal
114,2021-05-28,5,Vendor_94,1502.94,Standard operational expense,5,1,Normal
115,2022-11-09,6,Vendor_76,10584.5,Standard operational expense,11,1,Normal
116,2024-03-15,2,Vendor_39,7425.08,Standard operational expense,3,1,Normal
117,2022-06-24,1,Vendor_23,7023.64,Standard operational expense,6,1,Normal
118,2022-11-21,2,Vendor_34,14242.27,Standard operational expense,11,1,Normal
119,2024-10-25,8,Vendor_69,12861.7,Standard operational expense,10,1,Normal
120,2019-05-31,8,Vendor_2,1151.47,Standard operational expense,5,1,Normal
121,2019-05-12,4,Vendor_91,8828.06,Standard operational expense,5,1,Normal
122,2020-05-01,8,Vendor_35,10189.81,Standard operational expense,5,1,Normal
123,2024-08-24,1,Vendor_51,6927.97,Standard operational expense,8,1,Normal
124,2022-06-25,4,Vendor_33,5852.93,Standard operational expense,6,1,Normal
125,2021-04-06,2,Vendor_29,3179.6,Standard operational expense,4,1,Normal
126,2024-09-10,4,Vendor_2,1601.59,Standard operational expense,9,1,Normal
127,2024-12-21,2,Vendor_81,10276.8,Standard operational expense,12,1,Normal
128,2018-03-31,8,Vendor_74,5842.41,Standard operational expense,3,1,Normal
129,2022-10-14,6,Vendor_7,73413.48,Emergency Year-end Fund Utilization,10,-1,Anomaly
130,2020-04-05,5,Vendor_75,5290.22,Standard operational expense,4,1,Normal
131,2019-02-17,8,Vendor_21,11052.56,Standard operational expense,2,1,Normal
132,2019-11-07,2,Vendor_24,6409.72,Standard operational expense,11,1,Normal
133,2024-02-18,3,Vendor_36,14858.53,Standard operational expense,2,1,Normal
134,2020-09-04,1,Vendor_24,11668.55,Standard operational expense,9,1,Normal
135,2018-02-06,4,Vendor_13,6492.01,Standard operational expense,2,1,Normal
136,2024-05-15,1,Vendor_30,3649.72,Standard operational expense,5,1,Normal
137,2021-07-20,1,Vendor_89,7628.26,Standard operational expense,7,1,Normal
138,2021-09-27,5,Vendor_49,13443.3,Standard operational expense,9,1,Normal
139,2022-06-24,4,Vendor_19,14382.27,Standard operational expense,6,1,Normal
140,2018-03-17,1,Vendor_78,4857.77,Standard operational expense,3,1,Normal
141,2020-04-30,2,Vendor_69,9514.37,Standard operational expense,4,1,Normal
142,2019-01-31,1,Vendor_85,8350.18,Standard operational expense,1,1,Normal
143,2021-03-13,1,Vendor_53,1790.62,Standard operational expense,3,1,Normal
144,2020-12-01,2,Vendor_95,957.63,Standard operational expense,12,1,Normal
145,2019-09-26,5,Vendor_93,11081.83,Standard operational expense,9,1,Normal
146,2018-08-23,3,Vendor_76,1844.3,Standard operational expense,8,1,Normal
147,2020-08-11,4,Vendor_7,13016.34,Standard operational expense,8,1,Normal
148,2021-04-12,5,Vendor_9,3416.39,Standard operational expense,4,1,Normal
149,2021-05-02,5,Vendor_38,7748.56,Standard operational expense,5,1,Normal
150,2024-07-14,8,Vendor_65,5676.63,Standard operational expense,7,1,Normal
151,2021-09-27,4,Vendor_71,3626.61,Standard operational expense,9,1,Normal
152,2018-08-05,5,Vendor_70,11325.33,Standard operational expense,8,1,Normal
153,2022-12-16,5,Vendor_39,5732.02,Standard operational expense,12,1,Normal
154,2018-04-01,2,Vendor_39,13604.68,Standard operational expense,4,1,Normal
155,2018-06-22,5,Vendor_58,6137.51,Standard operational expense,6,1,Normal
156,2022-08-11,4,Vendor_39,11531.2,Standard operational expense,8,1,Normal
157,2024-08-31,5,Vendor_63,3638.85,Standard operational expense,8,1,Normal
158,2022-03-12,1,Vendor_33,1335.08,Standard operational expense,3,1,Normal
159,2020-07-22,5,Vendor_44,14452.02,Standard operational expense,7,1,Normal
160,2019-11-16,8,Vendor_47,8384.48,Standard operational expense,11,1,Normal
161,2021-03-18,8,Vendor_75,7962.75,Standard operational expense,3,1,Normal
162,2021-06-06,4,Vendor_20,8352.43,Standard operational expense,6,1,Normal
163,2023-09-26,1,Vendor_15,3330.46,Standard operational expense,9,1,Normal
164,2021-10-28,6,Vendor_16,8806.28,Standard operational expense,10,1,Normal
165,2019-04-16,1,Vendor_74,13737.29,Standard operational expense,4,1,Normal
166,2020-12-17,6,Vendor_28,41335.74,Emergency Year-end Fund Utilization,12,1,Normal
167,2019-01-08,8,Vendor_36,2628.23,Standard operational expense,1,1,Normal
168,2018-03-31,8,Vendor_50,5364.95,Standard operational expense,3,1,Normal
169,2019-06-24,4,Vendor_64,5469.14,Standard operational expense,6,1,Normal
170,2023-12-21,6,Vendor_73,3489.06,Emergency Year-end Fund Utilization,12,1,Normal
171,2020-07-17,5,Vendor_92,12225.55,Standard operational expense,7,1,Normal
172,2020-07-13,5,Vendor_6,13672.82,Standard operational expense,7,1,Normal
173,2022-06-06,3,Vendor_47,10913.22,Standard operational expense,6,1,Normal
174,2023-04-29,2,Vendor_30,1332.95,Standard operational expense,4,1,Normal
175,2020-05-26,5,Vendor_33,492.87,Standard operational expense,5,1,Normal
176,2019-01-09,1,Vendor_49,7257.51,Standard operational expense,1,1,Normal
177,2022-12-08,5,Vendor_89,11268.72,Standard operational expense,12,1,Normal
178,2019-11-20,5,Vendor_99,1046.33,Standard operational expense,11,1,Normal
179,2019-05-26,1,Vendor_55,303.71,Standard operational expense,5,1,Normal
180,2019-06-02,4,Vendor_95,12212.23,Standard operational expense,6,1,Normal
181,2022-11-01,6,Vendor_23,82237.02,Emergency Year-end Fund Utilization,11,-1,Anomaly
182,2019-12-15,2,Vendor_85,5729.97,Standard operational expense,12,1,Normal
183,2024-11-09,6,Vendor_45,3846.49,Standard operational expense,11,1,Normal
184,2019-12-18,4,Vendor_32,3506.78,Standard operational expense,12,1,Normal
185,2023-09-13,4,Vendor_39,4103.22,Standard operational expense,9,1,Normal
186,2024-01-11,2,Vendor_3,7852.58,Standard operational expense,1,1,Normal
187,2018-09-25,1,Vendor_5,8323.41,Standard operational expense,9,1,Normal
188,2020-02-02,1,Vendor_47,8890.34,Standard operational expense,2,1,Normal
189,2021-06-06,5,Vendor_75,9626.48,Standard operational expense,6,1,Normal
190,2019-03-11,7,Vendor_98,2131.93,Standard operational expense,3,1,Normal
191,2021-08-22,2,Vendor_79,9586.0,Standard operational expense,8,1,Normal
192,2024-10-18,7,Vendor_38,10923.32,Standard operational expense,10,1,Normal
193,2021-09-20,4,Vendor_51,4539.6,Standard operational expense,9,1,Normal
194,2023-10-30,5,Vendor_10,11967.43,Standard operational expense,10,1,Normal
195,2024-02-10,1,Vendor_84,7432.53,Standard operational expense,2,1,Normal
196,2018-03-10,2,Vendor_66,9350.0,Standard operational expense,3,1,Normal
197,2018-10-23,6,Vendor_75,57226.02,Emergency Year-end Fund Utilization,10,1,Normal
198,2023-03-22,7,Vendor_55,2020.31,Standard operational expense,3,1,Normal
199,2023-11-13,3,Vendor_8,2168.52,Standard operational expense,11,1,Normal
200,2020-06-18,8,Vendor_25,10477.87,Standard operational expense,6,1,Normal
201,2023-03-03,3,Vendor_32,7777.02,Standard operational expense,3,1,Normal
202,2023-05-24,5,Vendor_19,2965.11,Standard operational expense,5,1,Normal
203,2020-10-25,2,Vendor_61,4251.0,Standard operational expense,10,1,Normal
204,2021-11-29,6,Vendor_12,1897.47,Standard operational expense,11,1,Normal
205,2024-10-22,6,Vendor_78,33165.72,Emergency Year-end Fund Utilization,10,1,Normal
206,2022-10-20,5,Vendor_26,4891.58,Standard operational expense,10,1,Normal
207,2024-04-15,7,Vendor_56,9455.72,Standard operational expense,4,1,Normal
208,2024-07-25,3,Vendor_61,13821.0,Standard operational expense,7,1,Normal
209,2018-12-03,2,Vendor_8,13037.69,Standard operational expense,12,1,Normal
210,2019-09-17,3,Vendor_79,2849.36,Standard operational expense,9,1,Normal
211,2018-10-30,7,Vendor_14,13868.22,Standard operational expense,10,1,Normal
212,2019-04-19,4,Vendor_88,5596.81,Standard operational expense,4,1,Normal
213,2018-12-31,2,Vendor_56,646.58,Standard operational expense,12,1,Normal
214,2020-06-01,7,Vendor_23,10338.77,Standard operational expense,6,1,Normal
215,2024-08-07,7,Vendor_18,554.04,Standard operational expense,8,1,Normal
216,2023-03-22,7,Vendor_28,1662.55,Standard operational expense,3,1,Normal
217,2019-12-15,7,Vendor_86,4898.98,Standard operational expense,12,1,Normal
218,2018-05-06,4,Vendor_13,3574.92,Standard operational expense,5,1,Normal
219,2023-09-04,4,Vendor_18,5391.05,Standard operational expense,9,1,Normal
220,2023-11-29,4,Vendor_34,8102.89,Standard operational expense,11,1,Normal
221,2019-09-15,8,Vendor_83,8839.38,Standard operational expense,9,1,Normal
222,2024-10-08,5,Vendor_26,5509.93,Standard operational expense,10,1,Normal
223,2022-10-28,3,Vendor_70,5405.84,Standard operational expense,10,1,Normal
224,2021-08-05,5,Vendor_70,1616.56,Standard operational expense,8,1,Normal
225,2022-05-25,7,Vendor_94,7368.37,Standard operational expense,5,1,Normal
226,2024-07-25,7,Vendor_9,929.24,Standard operational expense,7,1,Normal
227,2020-01-29,3,Vendor_40,7915.22,Standard operational expense,1,1,Normal
228,2018-08-17,4,Vendor_6,14959.11,Standard operational expense,8,1,Normal
229,2019-04-13,4,Vendor_79,13769.19,Standard operational expense,4,1,Normal
230,2019-10-08,6,Vendor_51,3942.75,Standard operational expense,10,1,Normal
231,2022-01-04,2,Vendor_8,8395.77,Standard operational expense,1,1,Normal
232,2021-12-29,5,Vendor_70,11565.44,Standard operational expense,12,1,Normal
233,2021-12-04,6,Vendor_84,10693.19,Standard operational expense,12,1,Normal
234,2018-08-13,4,Vendor_47,3711.91,Standard operational expense,8,1,Normal
235,2023-08-11,2,Vendor_38,11539.91,Standard operational expense,8,1,Normal
236,2023-12-15,6,Vendor_77,14400.0,Emergency Year-end Fund Utilization,12,1,Normal
237,2023-07-20,3,Vendor_50,872.17,Standard operational expense,7,1,Normal
238,2023-08-02,2,Vendor_10,8274.19,Standard operational expense,8,1,Normal
239,2024-01-29,2,Vendor_2,4903.07,Standard operational expense,1,1,Normal
240,2022-06-08,1,Vendor_73,2168.49,Standard operational expense,6,1,Normal
241,2023-06-18,7,Vendor_35,7126.49,Standard operational expense,6,1,Normal
242,2021-01-23,1,Vendor_60,12775.84,Standard operational expense,1,1,Normal
243,2018-08-24,2,Vendor_75,1952.03,Standard operational expense,8,1,Normal
244,2021-03-06,2,Vendor_35,2800.37,Standard operational expense,3,1,Normal
245,2021-08-12,8,Vendor_64,8659.65,Standard operational expense,8,1,Normal
246,2021-10-04,8,Vendor_14,12436.32,Standard operational expense,10,1,Normal
247,2023-12-19,6,Vendor_37,74366.88,Emergency Year-end Fund Utilization,12,-1,Anomaly
248,2023-08-15,3,Vendor_26,10011.44,Standard operational expense,8,1,Normal
249,2018-05-12,1,Vendor_89,13170.29,Standard operational expense,5,1,Normal
250,2024-09-15,8,Vendor_14,6834.03,Standard operational expense,9,1,Normal
251,2024-10-05,1,Vendor_15,11239.38,Standard operational expense,10,1,Normal
252,2020-09-19,1,Vendor_66,5394.9,Standard operational expense,9,1,Normal
253,2023-06-21,5,Vendor_51,13606.43,Standard operational expense,6,1,Normal
254,2023-12-07,6,Vendor_7,84621.0,Emergency Year-end Fund Utilization,12,-1,Anomaly
255,2021-04-17,8,Vendor_15,10436.39,Standard operational expense,4,1,Normal
256,2022-07-05,5,Vendor_94,7481.81,Standard operational expense,7,1,Normal
257,2021-06-08,3,Vendor_38,11850.1,Standard operational expense,6,1,Normal
258,2021-01-25,5,Vendor_55,3802.49,Standard operational expense,1,1,Normal
259,2024-12-02,6,Vendor_66,18886.26,Emergency Year-end Fund Utilization,12,1,Normal
260,2019-06-01,3,Vendor_38,11344.07,Standard operational expense,6,1,Normal
261,2023-04-17,7,Vendor_88,5744.44,Standard operational expense,4,1,Normal
262,2023-08-25,5,Vendor_29,8143.92,Standard operational expense,8,1,Normal
263,2023-09-26,4,Vendor_2,10861.56,Standard operational expense,9,1,Normal
264,2018-04-05,3,Vendor_36,10439.83,Standard operational expense,4,1,Normal
265,2020-03-04,3,Vendor_20,9025.54,Standard operational expense,3,1,Normal
266,2018-11-27,6,Vendor_38,81815.45999999999,Emergency Year-end Fund Utilization,11,-1,Anomaly
267,2019-12-13,7,Vendor_46,6983.89,Standard operational expense,12,1,Normal
268,2018-12-29,4,Vendor_62,13686.6,Standard operational expense,12,1,Normal
269,2020-09-11,1,Vendor_60,369.84,Standard operational expense,9,1,Normal
270,2018-12-22,8,Vendor_37,10480.1,Standard operational expense,12,1,Normal
271,2023-02-07,7,Vendor_92,2372.83,Standard operational expense,2,1,Normal
272,2023-10-04,6,Vendor_78,7512.48,Emergency Year-end Fund Utilization,10,1,Normal
273,2021-12-01,1,Vendor_21,1787.25,Standard operational expense,12,1,Normal
274,2022-07-04,4,Vendor_57,1957.47,Standard operational expense,7,1,Normal
275,2023-12-07,6,Vendor_40,46984.14,Emergency Year-end Fund Utilization,12,1,Normal
276,2023-04-19,5,Vendor_53,5751.65,Standard operational expense,4,1,Normal
277,2018-07-21,4,Vendor_26,11838.07,Standard operational expense,7,1,Normal
278,2020-07-25,3,Vendor_25,6032.71,Standard operational expense,7,1,Normal
279,2022-06-14,3,Vendor_7,13852.11,Standard operational expense,6,1,Normal
280,2019-04-20,2,Vendor_43,13784.98,Standard operational expense,4,1,Normal
281,2020-08-12,4,Vendor_54,13699.97,Standard operational expense,8,1,Normal
282,2019-10-26,1,Vendor_70,7525.68,Standard operational expense,10,1,Normal
283,2023-02-23,1,Vendor_63,5499.67,Standard operational expense,2,1,Normal
284,2020-12-21,6,Vendor_85,20276.7,Emergency Year-end Fund Utilization,12,1,Normal
285,2020-08-24,1,Vendor_49,14419.95,Standard operational expense,8,1,Normal
286,2018-11-17,6,Vendor_63,77540.52,Emergency Year-end Fund Utilization,11,-1,Anomaly
287,2022-09-21,8,Vendor_1,7582.71,Standard operational expense,9,1,Normal
288,2022-10-26,5,Vendor_51,6020.04,Standard operational expense,10,1,Normal
289,2020-08-09,3,Vendor_30,5305.87,Standard operational expense,8,1,Normal
290,2024-05-21,1,Vendor_30,644.59,Standard operational expense,5,1,Normal
291,2023-08-28,1,Vendor_47,11655.36,Standard operational expense,8,1,Normal
292,2018-10-20,6,Vendor_94,40004.16,Emergency Year-end Fund Utilization,10,1,Normal
293,2022-08-29,3,Vendor_1,2413.08,Standard operational expense,8,1,Normal
294,2018-02-24,7,Vendor_10,11323.37,Standard operational expense,2,1,Normal
295,2022-01-21,3,Vendor_97,9695.59,Standard operational expense,1,1,Normal
296,2023-11-05,7,Vendor_50,2426.67,Standard operational expense,11,1,Normal
297,2020-04-12,1,Vendor_88,3407.39,Standard operational expense,4,1,Normal
298,2023-06-30,3,Vendor_72,7632.07,Standard operational expense,6,1,Normal
299,2021-07-11,2,Vendor_88,12099.19,Standard operational expense,7,1,Normal
300,2021-08-04,8,Vendor_16,12122.07,Standard operational expense,8,1,Normal
301,2019-03-28,4,Vendor_85,10054.47,Standard operational expense,3,1,Normal
302,2020-06-28,7,Vendor_82,4927.45,Standard operational expense,6,1,Normal
303,2023-08-17,2,Vendor_23,1374.08,Standard operational expense,8,1,Normal
304,2018-05-27,8,Vendor_36,2803.39,Standard operational expense,5,1,Normal
305,2021-08-01,4,Vendor_1,10588.8,Standard operational expense,8,1,Normal
306,2023-04-24,3,Vendor_2,3965.41,Standard operational expense,4,1,Normal
307,2019-12-08,7,Vendor_20,610.0,Standard operational expense,12,1,Normal
308,2024-04-27,5,Vendor_94,6200.23,Standard operational expense,4,1,Normal
309,2020-06-23,2,Vendor_99,12929.91,Standard operational expense,6,1,Normal
310,2022-03-04,2,Vendor_24,11477.73,Standard operational expense,3,1,Normal
311,2019-08-16,2,Vendor_59,8530.07,Standard operational expense,8,1,Normal
312,2018-05-08,8,Vendor_81,6435.68,Standard operational expense,5,1,Normal
313,2019-06-05,8,Vendor_25,10512.8,Standard operational expense,6,1,Normal
314,2022-11-17,6,Vendor_4,12540.46,Standard operational expense,11,1,Normal
315,2019-03-18,5,Vendor_87,2658.02,Standard operational expense,3,1,Normal
316,2020-03-15,3,Vendor_85,12356.5,Standard operational expense,3,1,Normal
317,2023-09-21,4,Vendor_34,7521.55,Standard operational expense,9,1,Normal
318,2022-08-28,1,Vendor_76,7512.23,Standard operational expense,8,1,Normal
319,2022-06-11,5,Vendor_85,263.84,Standard operational expense,6,1,Normal
320,2023-09-06,1,Vendor_91,4070.83,Standard operational expense,9,1,Normal
321,2018-06-17,2,Vendor_53,9047.7,Standard operational expense,6,1,Normal
322,2019-03-31,2,Vendor_26,13724.74,Standard operational expense,3,1,Normal
323,2019-12-03,2,Vendor_2,6388.34,Standard operational expense,12,1,Normal
324,2023-01-20,3,Vendor_53,2847.13,Standard operational expense,1,1,Normal
325,2021-10-26,2,Vendor_11,1116.92,Standard operational expense,10,1,Normal
326,2021-08-12,3,Vendor_59,5399.52,Standard operational expense,8,1,Normal
327,2021-10-12,6,Vendor_24,43158.9,Emergency Year-end Fund Utilization,10,1,Normal
328,2020-12-14,6,Vendor_33,66091.92,Emergency Year-end Fund Utilization,12,1,Normal
329,2022-11-21,4,Vendor_83,8143.66,Standard operational expense,11,1,Normal
330,2022-10-29,4,Vendor_62,866.24,Standard operational expense,10,1,Normal
331,2018-12-31,3,Vendor_26,5080.23,Standard operational expense,12,1,Normal
332,2022-03-05,1,Vendor_17,1219.55,Standard operational expense,3,1,Normal
333,2022-07-23,1,Vendor_42,10603.39,Standard operational expense,7,1,Normal
334,2018-01-25,7,Vendor_44,1231.41,Standard operational expense,1,1,Normal
335,2021-12-29,6,Vendor_12,178.28,Standard operational expense,12,1,Normal
336,2024-05-11,5,Vendor_49,1464.57,Standard operational expense,5,1,Normal
337,2020-11-06,2,Vendor_47,10389.35,Standard operational expense,11,1,Normal
338,2018-10-10,6,Vendor_83,86260.44,Emergency Year-end Fund Utilization,10,-1,Anomaly
339,2022-12-05,7,Vendor_87,12117.76,Standard operational expense,12,1,Normal
340,2022-12-07,6,Vendor_72,57568.5,Emergency Year-end Fund Utilization,12,1,Normal
341,2024-11-18,1,Vendor_59,9735.31,Standard operational expense,11,1,Normal
342,2019-05-04,5,Vendor_32,10081.77,Standard operational expense,5,1,Normal
343,2020-02-17,8,Vendor_23,13886.2,Standard operational expense,2,1,Normal
344,2022-12-23,5,Vendor_7,7150.83,Standard operational expense,12,1,Normal
345,2018-12-01,5,Vendor_48,10992.25,Standard operational expense,12,1,Normal
346,2022-03-02,3,Vendor_82,14169.57,Standard operational expense,3,1,Normal
347,2020-09-16,4,Vendor_18,12683.79,Standard operational expense,9,1,Normal
348,2022-01-06,2,Vendor_14,9703.75,Standard operational expense,1,1,Normal
349,2021-03-28,8,Vendor_60,3527.13,Standard operational expense,3,1,Normal
